facility_id,facility_name,state,dashboard_measure_group,favorable_percent,survey_weight,included_rows,excluded_rows
100040,ASCENSION ST VINCENT'S RIVERSIDE,FL,Nurse Communication,73.50,1064,4,0
100040,ASCENSION ST VINCENT'S RIVERSIDE,FL,Doctor Communication,75.25,1064,4,0
100040,ASCENSION ST VINCENT'S RIVERSIDE,FL,Recommendation,72.00,266,1,0
100040,ASCENSION ST VINCENT'S RIVERSIDE,FL,Overall Rating,63.00,266,1,0
100040,ASCENSION ST VINCENT'S RIVERSIDE,FL,Medicine Communication,49.33,798,3,0
100307,ASCENSION ST VINCENT'S SOUTHSIDE,FL,Discharge Information,82.67,942,3,0
100307,ASCENSION ST VINCENT'S SOUTHSIDE,FL,Nurse Communication,74.00,1256,4,0
100307,ASCENSION ST VINCENT'S SOUTHSIDE,FL,Doctor Communication,74.00,1256,4,0
100307,ASCENSION ST VINCENT'S SOUTHSIDE,FL,Recommendation,66.00,314,1,0
100307,ASCENSION ST VINCENT'S SOUTHSIDE,FL,Overall Rating,67.00,314,1,0
100307,ASCENSION ST VINCENT'S SOUTHSIDE,FL,Medicine Communication,52.67,942,3,0
100361,ASCENSION ST VINCENT'S ST JOHNS COUNTY,FL,Discharge Information,87.33,936,3,0
100361,ASCENSION ST VINCENT'S ST JOHNS COUNTY,FL,Nurse Communication,78.25,1248,4,0
100361,ASCENSION ST VINCENT'S ST JOHNS COUNTY,FL,Doctor Communication,75.75,1248,4,0
100361,ASCENSION ST VINCENT'S ST JOHNS COUNTY,FL,Recommendation,76.00,312,1,0
100361,ASCENSION ST VINCENT'S ST JOHNS COUNTY,FL,Overall Rating,78.00,312,1,0
100361,ASCENSION ST VINCENT'S ST JOHNS COUNTY,FL,Medicine Communication,57.67,936,3,0
100069,AdventHealth Carrollwood,FL,Discharge Information,85.67,3123,3,0
100069,AdventHealth Carrollwood,FL,Nurse Communication,79.50,4164,4,0
100069,AdventHealth Carrollwood,FL,Doctor Communication,77.25,4164,4,0
100069,AdventHealth Carrollwood,FL,Recommendation,71.00,1041,1,0
100069,AdventHealth Carrollwood,FL,Overall Rating,70.00,1041,1,0
100069,AdventHealth Carrollwood,FL,Medicine Communication,60.00,3123,3,0
100118,AdventHealth Palm Coast,FL,Discharge Information,87.67,4407,3,0
100118,AdventHealth Palm Coast,FL,Nurse Communication,80.75,5876,4,0
100118,AdventHealth Palm Coast,FL,Doctor Communication,76.00,5876,4,0
100118,AdventHealth Palm Coast,FL,Recommendation,72.00,1469,1,0
100118,AdventHealth Palm Coast,FL,Overall Rating,74.00,1469,1,0
100118,AdventHealth Palm Coast,FL,Medicine Communication,64.00,4407,3,0
100077,Adventhealth Port Charlotte,FL,Discharge Information,81.67,2535,3,0
100077,Adventhealth Port Charlotte,FL,Nurse Communication,69.75,3380,4,0
100077,Adventhealth Port Charlotte,FL,Doctor Communication,65.75,3380,4,0
100077,Adventhealth Port Charlotte,FL,Recommendation,52.00,845,1,0
100077,Adventhealth Port Charlotte,FL,Overall Rating,51.00,845,1,0
100077,Adventhealth Port Charlotte,FL,Medicine Communication,51.00,2535,3,0
100046,Adventhealth Zephyrhills,FL,Discharge Information,87.33,4965,3,0
100046,Adventhealth Zephyrhills,FL,Nurse Communication,81.00,6620,4,0
100046,Adventhealth Zephyrhills,FL,Doctor Communication,76.25,6620,4,0
100046,Adventhealth Zephyrhills,FL,Recommendation,71.00,1655,1,0
100046,Adventhealth Zephyrhills,FL,Overall Rating,75.00,1655,1,0
100046,Adventhealth Zephyrhills,FL,Medicine Communication,64.00,4965,3,0
100088,BAPTIST HEALTH MEDICAL CENTER - JACKSONVILLE,FL,Discharge Information,86.00,1953,3,0
100088,BAPTIST HEALTH MEDICAL CENTER - JACKSONVILLE,FL,Nurse Communication,77.75,2604,4,0
100088,BAPTIST HEALTH MEDICAL CENTER - JACKSONVILLE,FL,Doctor Communication,75.00,2604,4,0
100088,BAPTIST HEALTH MEDICAL CENTER - JACKSONVILLE,FL,Recommendation,77.00,651,1,0
100088,BAPTIST HEALTH MEDICAL CENTER - JACKSONVILLE,FL,Overall Rating,76.00,651,1,0
100088,BAPTIST HEALTH MEDICAL CENTER - JACKSONVILLE,FL,Medicine Communication,58.00,1953,3,0
100093,BAPTIST HOSPITAL,FL,Discharge Information,86.67,2010,3,0
100093,BAPTIST HOSPITAL,FL,Nurse Communication,78.25,2680,4,0
100093,BAPTIST HOSPITAL,FL,Doctor Communication,74.00,2680,4,0
100093,BAPTIST HOSPITAL,FL,Recommendation,78.00,670,1,0
100093,BAPTIST HOSPITAL,FL,Overall Rating,76.00,670,1,0
100093,BAPTIST HOSPITAL,FL,Medicine Communication,60.00,2010,3,0
100008,BAPTIST HOSPITAL OF MIAMI,FL,Discharge Information,84.00,3270,3,0
100008,BAPTIST HOSPITAL OF MIAMI,FL,Nurse Communication,76.75,4360,4,0
100008,BAPTIST HOSPITAL OF MIAMI,FL,Doctor Communication,78.50,4360,4,0
100008,BAPTIST HOSPITAL OF MIAMI,FL,Recommendation,74.00,1090,1,0
100008,BAPTIST HOSPITAL OF MIAMI,FL,Overall Rating,71.00,1090,1,0
100008,BAPTIST HOSPITAL OF MIAMI,FL,Medicine Communication,60.00,3270,3,0
100117,BAPTIST MEDICAL CENTER  BEACHES,FL,Discharge Information,86.00,1779,3,0
100117,BAPTIST MEDICAL CENTER  BEACHES,FL,Nurse Communication,80.75,2372,4,0
100117,BAPTIST MEDICAL CENTER  BEACHES,FL,Doctor Communication,79.25,2372,4,0
100117,BAPTIST MEDICAL CENTER  BEACHES,FL,Recommendation,83.00,593,1,0
100117,BAPTIST MEDICAL CENTER  BEACHES,FL,Overall Rating,79.00,593,1,0
100117,BAPTIST MEDICAL CENTER  BEACHES,FL,Medicine Communication,64.00,1779,3,0
100140,BAPTIST MEDICAL CENTER - NASSAU,FL,Discharge Information,83.00,1161,3,0
100140,BAPTIST MEDICAL CENTER - NASSAU,FL,Nurse Communication,77.75,1548,4,0
100140,BAPTIST MEDICAL CENTER - NASSAU,FL,Doctor Communication,79.50,1548,4,0
100140,BAPTIST MEDICAL CENTER - NASSAU,FL,Recommendation,77.00,387,1,0
100140,BAPTIST MEDICAL CENTER - NASSAU,FL,Overall Rating,79.00,387,1,0
100140,BAPTIST MEDICAL CENTER - NASSAU,FL,Medicine Communication,58.33,1161,3,0
100121,BARTOW REGIONAL MEDICAL CENTER,FL,Discharge Information,84.00,1683,3,0
100121,BARTOW REGIONAL MEDICAL CENTER,FL,Nurse Communication,76.75,2244,4,0
100121,BARTOW REGIONAL MEDICAL CENTER,FL,Doctor Communication,71.25,2244,4,0
100121,BARTOW REGIONAL MEDICAL CENTER,FL,Recommendation,67.00,561,1,0
100121,BARTOW REGIONAL MEDICAL CENTER,FL,Overall Rating,70.00,561,1,0
100121,BARTOW REGIONAL MEDICAL CENTER,FL,Medicine Communication,61.67,1683,3,0
10009F,BAY PINES VA MEDICAL CENTER,FL,Discharge Information,85.67,1458,3,0
10009F,BAY PINES VA MEDICAL CENTER,FL,Nurse Communication,83.50,1944,4,0
10009F,BAY PINES VA MEDICAL CENTER,FL,Doctor Communication,79.50,1944,4,0
10009F,BAY PINES VA MEDICAL CENTER,FL,Recommendation,77.00,486,1,0
10009F,BAY PINES VA MEDICAL CENTER,FL,Overall Rating,78.00,486,1,0
10009F,BAY PINES VA MEDICAL CENTER,FL,Medicine Communication,68.33,1458,3,0
100362,BAYCARE HOSPITAL WESLEY CHAPEL,FL,Discharge Information,85.00,1167,3,0
100362,BAYCARE HOSPITAL WESLEY CHAPEL,FL,Nurse Communication,81.00,1556,4,0
100362,BAYCARE HOSPITAL WESLEY CHAPEL,FL,Doctor Communication,77.75,1556,4,0
100362,BAYCARE HOSPITAL WESLEY CHAPEL,FL,Recommendation,82.00,389,1,0
100362,BAYCARE HOSPITAL WESLEY CHAPEL,FL,Overall Rating,82.00,389,1,0
100362,BAYCARE HOSPITAL WESLEY CHAPEL,FL,Medicine Communication,59.00,1167,3,0
100002,BETHESDA HOSPITAL EAST,FL,Discharge Information,79.33,3132,3,0
100002,BETHESDA HOSPITAL EAST,FL,Nurse Communication,66.75,4176,4,0
100002,BETHESDA HOSPITAL EAST,FL,Doctor Communication,67.50,4176,4,0
