facility_id,facility_name,category,weighted_favorable_percent,response_count,response_rate_context,florida_category_average,difference_from_florida_average
100109,ADVENTHEALTH SEBRING,Doctor Communication,71.75,6760,20.00,74.82,-3.07
100109,ADVENTHEALTH SEBRING,Recommendation,65.00,1690,20.00,70.01,-5.01
100109,ADVENTHEALTH SEBRING,Overall Rating,65.00,1690,20.00,69.07,-4.07
100109,ADVENTHEALTH SEBRING,Medicine Communication,53.67,5070,20.00,58.01,-4.34
100173,ADVENTHEALTH TAMPA,Discharge Information,84.67,8265,13.00,84.27,0.40
100173,ADVENTHEALTH TAMPA,Nurse Communication,75.75,11020,13.00,76.39,-0.64
100173,ADVENTHEALTH TAMPA,Doctor Communication,75.00,11020,13.00,74.82,0.18
100173,ADVENTHEALTH TAMPA,Recommendation,66.00,2755,13.00,70.01,-4.01
100173,ADVENTHEALTH TAMPA,Overall Rating,66.00,2755,13.00,69.07,-3.07
100173,ADVENTHEALTH TAMPA,Medicine Communication,56.00,8265,13.00,58.01,-2.01
100057,ADVENTHEALTH WATERMAN,Discharge Information,88.33,8313,21.00,84.27,4.06
100057,ADVENTHEALTH WATERMAN,Nurse Communication,79.00,11084,21.00,76.39,2.61
100057,ADVENTHEALTH WATERMAN,Doctor Communication,74.00,11084,21.00,74.82,-0.82
100057,ADVENTHEALTH WATERMAN,Recommendation,73.00,2771,21.00,70.01,2.99
100057,ADVENTHEALTH WATERMAN,Overall Rating,73.00,2771,21.00,69.07,3.93
100057,ADVENTHEALTH WATERMAN,Medicine Communication,62.00,8313,21.00,58.01,3.99
101300,ADVENTHEALTH WAUCHULA,Discharge Information,,0,,84.27,
101300,ADVENTHEALTH WAUCHULA,Nurse Communication,,0,,76.39,
101300,ADVENTHEALTH WAUCHULA,Doctor Communication,,0,,74.82,
101300,ADVENTHEALTH WAUCHULA,Recommendation,,0,,70.01,
101300,ADVENTHEALTH WAUCHULA,Overall Rating,,0,,69.07,
101300,ADVENTHEALTH WAUCHULA,Medicine Communication,,0,,58.01,
100319,ADVENTHEALTH WESLEY CHAPEL,Discharge Information,88.67,5505,18.00,84.27,4.40
100319,ADVENTHEALTH WESLEY CHAPEL,Nurse Communication,81.75,7340,18.00,76.39,5.36
100319,ADVENTHEALTH WESLEY CHAPEL,Doctor Communication,76.00,7340,18.00,74.82,1.18
100319,ADVENTHEALTH WESLEY CHAPEL,Recommendation,78.00,1835,18.00,70.01,7.99
100319,ADVENTHEALTH WESLEY CHAPEL,Overall Rating,78.00,1835,18.00,69.07,8.93
100319,ADVENTHEALTH WESLEY CHAPEL,Medicine Communication,64.00,5505,18.00,58.01,5.99
100026,ASCENSION SACRED HEART BAY,Discharge Information,85.67,1074,18.00,84.27,1.40
100026,ASCENSION SACRED HEART BAY,Nurse Communication,76.75,1432,18.00,76.39,0.36
100026,ASCENSION SACRED HEART BAY,Doctor Communication,76.25,1432,18.00,74.82,1.43
100026,ASCENSION SACRED HEART BAY,Recommendation,72.00,358,18.00,70.01,1.99
100026,ASCENSION SACRED HEART BAY,Overall Rating,68.00,358,18.00,69.07,-1.07
100026,ASCENSION SACRED HEART BAY,Medicine Communication,56.33,1074,18.00,58.01,-1.68
100313,ASCENSION SACRED HEART GULF,Discharge Information,87.00,171,27.00,84.27,2.73
100313,ASCENSION SACRED HEART GULF,Nurse Communication,90.25,228,27.00,76.39,13.86
100313,ASCENSION SACRED HEART GULF,Doctor Communication,91.75,228,27.00,74.82,16.93
100313,ASCENSION SACRED HEART GULF,Recommendation,98.00,57,27.00,70.01,27.99
100313,ASCENSION SACRED HEART GULF,Overall Rating,90.00,57,27.00,69.07,20.93
100313,ASCENSION SACRED HEART GULF,Medicine Communication,77.00,171,27.00,58.01,18.99
100321,ASCENSION ST VINCENT'S CLAY COUNTY,Discharge Information,85.00,966,15.00,84.27,0.73
100321,ASCENSION ST VINCENT'S CLAY COUNTY,Nurse Communication,77.00,1288,15.00,76.39,0.61
100321,ASCENSION ST VINCENT'S CLAY COUNTY,Doctor Communication,74.00,1288,15.00,74.82,-0.82
100321,ASCENSION ST VINCENT'S CLAY COUNTY,Recommendation,72.00,322,15.00,70.01,1.99
100321,ASCENSION ST VINCENT'S CLAY COUNTY,Overall Rating,70.00,322,15.00,69.07,0.93
100321,ASCENSION ST VINCENT'S CLAY COUNTY,Medicine Communication,50.33,966,15.00,58.01,-7.68
100040,ASCENSION ST VINCENT'S RIVERSIDE,Discharge Information,85.00,798,17.00,84.27,0.73
100040,ASCENSION ST VINCENT'S RIVERSIDE,Nurse Communication,73.50,1064,17.00,76.39,-2.89
100040,ASCENSION ST VINCENT'S RIVERSIDE,Doctor Communication,75.25,1064,17.00,74.82,0.43
100040,ASCENSION ST VINCENT'S RIVERSIDE,Recommendation,72.00,266,17.00,70.01,1.99
100040,ASCENSION ST VINCENT'S RIVERSIDE,Overall Rating,63.00,266,17.00,69.07,-6.07
100040,ASCENSION ST VINCENT'S RIVERSIDE,Medicine Communication,49.33,798,17.00,58.01,-8.68
100307,ASCENSION ST VINCENT'S SOUTHSIDE,Discharge Information,82.67,942,13.00,84.27,-1.60
100307,ASCENSION ST VINCENT'S SOUTHSIDE,Nurse Communication,74.00,1256,13.00,76.39,-2.39
100307,ASCENSION ST VINCENT'S SOUTHSIDE,Doctor Communication,74.00,1256,13.00,74.82,-0.82
100307,ASCENSION ST VINCENT'S SOUTHSIDE,Recommendation,66.00,314,13.00,70.01,-4.01
100307,ASCENSION ST VINCENT'S SOUTHSIDE,Overall Rating,67.00,314,13.00,69.07,-2.07
100307,ASCENSION ST VINCENT'S SOUTHSIDE,Medicine Communication,52.67,942,13.00,58.01,-5.34
100361,ASCENSION ST VINCENT'S ST JOHNS COUNTY,Discharge Information,87.33,936,24.00,84.27,3.06
100361,ASCENSION ST VINCENT'S ST JOHNS COUNTY,Nurse Communication,78.25,1248,24.00,76.39,1.86
100361,ASCENSION ST VINCENT'S ST JOHNS COUNTY,Doctor Communication,75.75,1248,24.00,74.82,0.93
100361,ASCENSION ST VINCENT'S ST JOHNS COUNTY,Recommendation,76.00,312,24.00,70.01,5.99
100361,ASCENSION ST VINCENT'S ST JOHNS COUNTY,Overall Rating,78.00,312,24.00,69.07,8.93
100361,ASCENSION ST VINCENT'S ST JOHNS COUNTY,Medicine Communication,57.67,936,24.00,58.01,-0.34
100069,AdventHealth Carrollwood,Discharge Information,85.67,3123,17.00,84.27,1.40
100069,AdventHealth Carrollwood,Nurse Communication,79.50,4164,17.00,76.39,3.11
100069,AdventHealth Carrollwood,Doctor Communication,77.25,4164,17.00,74.82,2.43
100069,AdventHealth Carrollwood,Recommendation,71.00,1041,17.00,70.01,0.99
100069,AdventHealth Carrollwood,Overall Rating,70.00,1041,17.00,69.07,0.93
100069,AdventHealth Carrollwood,Medicine Communication,60.00,3123,17.00,58.01,1.99
100118,AdventHealth Palm Coast,Discharge Information,87.67,4407,25.00,84.27,3.40
100118,AdventHealth Palm Coast,Nurse Communication,80.75,5876,25.00,76.39,4.36
100118,AdventHealth Palm Coast,Doctor Communication,76.00,5876,25.00,74.82,1.18
100118,AdventHealth Palm Coast,Recommendation,72.00,1469,25.00,70.01,1.99
100118,AdventHealth Palm Coast,Overall Rating,74.00,1469,25.00,69.07,4.93
100118,AdventHealth Palm Coast,Medicine Communication,64.00,4407,25.00,58.01,5.99
100077,Adventhealth Port Charlotte,Discharge Information,81.67,2535,24.00,84.27,-2.60
100077,Adventhealth Port Charlotte,Nurse Communication,69.75,3380,24.00,76.39,-6.64
100077,Adventhealth Port Charlotte,Doctor Communication,65.75,3380,24.00,74.82,-9.07
100077,Adventhealth Port Charlotte,Recommendation,52.00,845,24.00,70.01,-18.01
100077,Adventhealth Port Charlotte,Overall Rating,51.00,845,24.00,69.07,-18.07
100077,Adventhealth Port Charlotte,Medicine Communication,51.00,2535,24.00,58.01,-7.01
100046,Adventhealth Zephyrhills,Discharge Information,87.33,4965,20.00,84.27,3.06
100046,Adventhealth Zephyrhills,Nurse Communication,81.00,6620,20.00,76.39,4.61
100046,Adventhealth Zephyrhills,Doctor Communication,76.25,6620,20.00,74.82,1.43
100046,Adventhealth Zephyrhills,Recommendation,71.00,1655,20.00,70.01,0.99
100046,Adventhealth Zephyrhills,Overall Rating,75.00,1655,20.00,69.07,5.93
100046,Adventhealth Zephyrhills,Medicine Communication,64.00,4965,20.00,58.01,5.99
100088,BAPTIST HEALTH MEDICAL CENTER - JACKSONVILLE,Discharge Information,86.00,1953,19.00,84.27,1.73
100088,BAPTIST HEALTH MEDICAL CENTER - JACKSONVILLE,Nurse Communication,77.75,2604,19.00,76.39,1.36
100088,BAPTIST HEALTH MEDICAL CENTER - JACKSONVILLE,Doctor Communication,75.00,2604,19.00,74.82,0.18
100088,BAPTIST HEALTH MEDICAL CENTER - JACKSONVILLE,Recommendation,77.00,651,19.00,70.01,6.99
100088,BAPTIST HEALTH MEDICAL CENTER - JACKSONVILLE,Overall Rating,76.00,651,19.00,69.07,6.93
100088,BAPTIST HEALTH MEDICAL CENTER - JACKSONVILLE,Medicine Communication,58.00,1953,19.00,58.01,-0.01
100093,BAPTIST HOSPITAL,Discharge Information,86.67,2010,21.00,84.27,2.40
100093,BAPTIST HOSPITAL,Nurse Communication,78.25,2680,21.00,76.39,1.86
100093,BAPTIST HOSPITAL,Doctor Communication,74.00,2680,21.00,74.82,-0.82
100093,BAPTIST HOSPITAL,Recommendation,78.00,670,21.00,70.01,7.99
100093,BAPTIST HOSPITAL,Overall Rating,76.00,670,21.00,69.07,6.93
100093,BAPTIST HOSPITAL,Medicine Communication,60.00,2010,21.00,58.01,1.99
100008,BAPTIST HOSPITAL OF MIAMI,Discharge Information,84.00,3270,17.00,84.27,-0.27
100008,BAPTIST HOSPITAL OF MIAMI,Nurse Communication,76.75,4360,17.00,76.39,0.36
100008,BAPTIST HOSPITAL OF MIAMI,Doctor Communication,78.50,4360,17.00,74.82,3.68
